1,5,8866,98780.0,26.6200008392334,0,211.85576758349768,5643.58203125,3743.19775390625,143.0,1,40795,58532,199993,39456,57236,199993,39452,57233,199993
2,10,15118,98776.0,26.68000030517578,0,212.19550797891924,5643.58154296875,3743.195556640625,144.10000610351562,1,39602,57356,199993,39460,57237,199993,39461,57235,199993
3,15,21361,98782.0,26.770000457763672,0,211.68590156307582,5643.58056640625,3743.186767578125,142.5,1,39734,57477,199993,39457,57239,199993,39454,57230,199993
4,20,27664,98789.0,26.84000015258789,0,211.0913924206273,5643.578125,3743.179443359375,143.0,1,39962,57647,199993,39443,57223,199993,39454,57229,199993
5,25,33903,98792.0,26.260000228881836,0,210.83661322977315,5643.576171875,3743.172119140625,142.6999969482422,1,39931,57626,199993,39447,57227,199993,39455,57225,199993
6,30,40167,98788.0,25.829999923706055,0,211.17632020974108,5643.57421875,3743.16357421875,142.89999389648438,1,39503,57274,199993,39464,57240,199993,39460,57227,199993
7,35,46450,98788.0,25.719999313354492,0,211.17632020974108,5643.572265625,3743.15478515625,142.6999969482422,1,39775,57475,199993,39443,57223,199993,39461,57226,199993
8,40,52689,98790.0,25.540000915527344,0,211.00646532760373,5643.57080078125,3743.1484375,142.6999969482422,1,39790,57466,199993,39445,57220,199993,39444,57218,199993
9,45,58953,98785.0,25.299999237060547,0,211.4311077537713,5643.56884765625,3743.14111328125,143.0,1,39681,57461,199993,39450,57226,199993,39443,57218,199993
10,50,65220,98786.0,25.40999984741211,0,211.34617787630324,5643.56591796875,3743.1357421875,143.39999389648438,1,39786,57515,199993,39445,57222,199993,39445,57220,199993
11,55,71459,98788.0,25.510000228881836,0,211.17632020974108,5643.56298828125,3743.1298828125,143.1999969482422,1,39624,57358,199993,39456,57230,199993,39443,57220,199993
12,60,77698,98788.0,25.610000610351562,0,211.17632020974108,5643.560546875,3743.126708984375,142.6999969482422,1,39604,57334,199993,39454,57228,199993,39444,57218,199993
13,65,83984,98782.0,25.719999313354492,0,211.68590156307582,5643.55712890625,3743.12158203125,142.60000610351562,1,39600,57351,199993,39453,57227,199993,39440,57221,199993
14,70,90223,98783.0,25.84000015258789,0,211.60096959714528,5643.5546875,3743.11669921875,142.8000030517578,1,39700,57432,199993,39441,57220,199993,39443,57220,199993
15,75,96471,98782.0,25.889999389648438,0,211.68590156307582,5643.5517578125,3743.112060546875,143.5,1,39503,57270,199993,39454,57228,199993,39455,57227,199993
16,80,102732,98756.0,25.709999084472656,0,213.89437707408243,5663.99462890625,0.0,143.8000030517578,1,39501,57266,199993,39454,57229,199993,39453,57228,199993
17,85,109015,98761.0,25.56999969482422,0,213.46963368506272,5643.546875,3743.099609375,143.60000610351562,1,39499,57263,199993,39467,57231,199993,39454,57225,199993
18,90,115254,98764.0,25.309999465942383,0,213.21479600913443,5643.54345703125,3743.0947265625,144.39999389648438,1,39495,57254,199993,39463,57228,199993,39454,57222,199993
19,95,121530,98761.0,25.260000228881836,0,213.46963368506272,5643.5419921875,3743.088623046875,145.0,1,39497,57255,199993,39453,57220,199993,39460,57220,199993
20,100,127811,98762.0,25.15999984741211,0,213.38468709665378,5643.5400390625,3743.08154296875,144.10000610351562,1,39488,57248,199993,39451,57219,199993,39453,57216,199993
21,105,134051,98759.0,24.959999084472656,0,213.63952895123333,5643.5380859375,3743.074462890625,144.39999389648438,1,39493,57246,199993,39453,57211,199993,39453,57213,199993
22,110,140328,98761.0,24.75,0,213.46963368506272,5643.53466796875,3743.067138671875,144.39999389648438,1,39501,57245,199993,39454,57209,199993,39449,57209,199993
23,115,146573,98749.0,24.6200008392334,0,214.48904707258768,5643.5322265625,3743.06005859375,145.5,1,39492,57240,199993,39450,57207,199993,39455,57205,199993
24,120,152812,98751.0,24.579999923706055,0,214.31913787591225,5663.998046875,0.0,145.6999969482422,1,39490,57234,199993,39451,57201,199993,39452,57205,199993
25,125,159098,98757.0,24.520000457763672,0,213.80942700330425,5663.99755859375,0.0,145.3000030517578,1,39489,57230,199993,39456,57203,199993,39455,57202,199993
26,130,165335,98748.0,24.459999084472656,0,214.57400271582551,5643.5244140625,3743.0390625,143.8000030517578,1,39488,57230,199993,39458,57199,199993,39453,57201,199993
27,135,171581,98748.0,24.299999237060547,0,214.57400271582551,5643.52197265625,3743.032958984375,144.60000610351562,1,39493,57229,199993,39455,57201,199993,39455,57199,199993
28,140,177869,98749.0,24.270000457763672,0,214.48904707258768,5643.52001953125,3743.027099609375,145.39999389648438,1,39492,57226,199993,39467,57201,199993,39452,57197,199993
29,145,184109,98747.0,24.260000228881836,0,214.65895905567493,5643.517578125,3743.020751953125,146.60000610351562,1,39494,57225,199993,39454,57197,199993,39451,57196,199993
30,150,190390,98752.0,24.15999984741211,0,214.23418432244515,5643.5146484375,3743.01416015625,146.6999969482422,1,39489,57222,199993,39460,57198,199993,39454,57197,199993
31,155,196651,98752.0,24.049999237060547,0,214.23418432244515,5632.0,0.0,146.5,1,39493,57222,199993,39454,57192,199993,39453,57192,199993
32,160,202903,98751.0,24.020000457763672,0,214.31913787591225,5663.99609375,0.0,145.8000030517578,1,39490,57219,199993,39464,57194,199993,39455,57191,199993
33,165,209166,98748.0,23.979999542236328,0,214.57400271582551,5663.994140625,0.0,146.1999969482422,1,39490,57219,199993,39454,57192,199993,39457,57191,199993
34,170,215442,98747.0,23.950000762939453,0,214.65895905567493,5643.50341796875,3742.98388671875,146.8000030517578,1,39491,57218,199993,39463,57192,199993,39455,57190,199993
35,175,221682,98744.0,23.860000610351562,0,214.9138322550351,5643.50146484375,3742.97705078125,146.1999969482422,1,39490,57215,199993,39457,57189,199993,39455,57189,199993
36,180,227922,98744.0,23.799999237060547,0,214.9138322550351,5643.49755859375,3742.968994140625,146.6999969482422,1,39486,57213,199993,39464,57188,199993,39456,57189,199993
37,185,234249,98749.0,23.790000915527344,0,214.48904707258768,5643.4951171875,3742.961669921875,146.0,1,39489,57214,199993,39465,57191,199993,39457,57190,199993
38,190,240514,98746.0,23.770000457763672,0,214.7439160921506,5643.49169921875,3742.95458984375,145.8000030517578,1,39486,57213,199993,39453,57190,199993,39458,57188,199993
39,195,246753,98743.0,23.809999465942383,0,214.99879138147332,5663.99951171875,0.0,145.0,1,39926,57484,199993,39456,57188,199993,39456,57188,199993
